Year,Total Americans in Favour
1972,70.26
1973,73.69
1974,75.41
1975,72.5
1976,71.53
1977,70.86
1980,69.18
1982,72.13
1984,70.6
1985,72.33
1987,69.39
1988,74.05
1989,78.58
1990,79.7
1991,79.75
1993,80.06
1994,77.91
1996,79.89
1998,81.42
2000,78.53
2002,80.57
2004,79.89
2006,78.69
2008,77.7
2010,74.32
2012,72.33
2014,71.16
2016,69.82
2018,71.31
2021,65.36
2022,68.48
